Genes	c1	c2	c3	p1	p2	p3	p4
Zfp598	2.564776068	1.518627605	3.789155876	0	0.995323608	2.796966901	2.038937889
Smc1a	20.17649702	16.42052804	14.4746158	51.97873825	22.96280707	35.93831766	27.23832296
N4bp2l1	6.098578666	4.23725246	3.304512066	90.73047147	7.271264258	4.506730448	5.26867962
Ripk2	2.110046653	1.553667393	2.264818669	0	3.670280447	2.411699115	1.892904616
Cyyr1	0.086553253	0.050835624	2.232519138	0	0.052552273	0.122749226	0.059122153
Olfr1098	0	0	0	0	0	0	0
Srsf6	51.53321865	37.6936825	47.90403242	48.38406531	50.72134692	40.54542438	32.87236697
Cpxm1	13.72684776	6.543295643	37.74367468	0	17.71971084	39.38080975	20.29221712
Nr0b2	0	0	0	0	0	0	0
Tsg101	55.14698977	45.13546715	22.9101426	42.5291348	50.24159182	26.05474981	42.82016309
Hmgb1l	0	0	0	0	0	0	0
Vmn1r5	0	0	0	0	0	0	0
Gm17217	0	0	0	0	0	0	0
Vmn2r46	0	0	0	0	0	0	0
Fbxo6	8.805176342	9.534527967	8.460713373	0.235540074	7.070456756	5.557534923	5.34575635
4933427D06Rik	0	0	0	0	0	0	0
Map6	3.223777508	5.241348461	4.441592838	0	2.357213244	3.831911488	2.47389549
Hottip	0	0	0	0	0	0	0
Nell1	0.039125862	0.43086933	1.335691575	0	0	0.015131793	0
Enthd1	0	0	0	0	0	0	0
Usp29	1.153461775	0.508072359	1.209089952	0.336534972	0.747869079	1.277490364	0.459563769
Gm21887	0	0	0	0	0	0	0
Olfr424	0	0	0	0	0	0	0
Vmn1r-ps28	0	0	0	0	0	0	0
Tmem11	20.82340813	12.47219305	21.86422578	0	23.87459027	23.1807426	22.08627234
Gm17365	0	0	0	0	0	0	0
Oard1	26.22731093	30.23678467	35.56872405	77.81511288	24.97588103	17.75126917	36.78640361
Gm21718	0	0	0	0	0	0	0
Gm9772	0	0	0	0	0	0	0
Igkv4-73	0	0	0	0	0	0	0
Fbxw25	0	0	0	0	0	0	0
Gm17412	0	0	0	0	0	0	0
Col8a2	0	2.160903898	0.21523234	0	5.327720109	5.303490217	3.592938715
Nrn1l	4.869631983	0	0.927833829	0	3.093171469	2.715562755	1.237546495
Gm43654	0.485215872	0.071257728	2.576506727	0	0.441797501	0	1.93313842
Gm43012	0	0	4.295199822	0	0.268566234	0.912472964	4.028349972
Gm43526	0	0.077752434	0	0	0.643021686	2.663241999	0
Gm18985	0	0	0	0	0	0	0
C430019N01Rik	0	0	1.605237212	0	1.284401963	0	1.866810308
Gm10030	0	0	0.053956698	0.342488739	0	0	0
Olfr135	0	0	0	0	0	0	0
Gm42626	0	0	0	0	0	0	0
Ubxn11	2.828839063	8.756851606	3.487145481	12.02909895	5.902409732	3.282232876	4.078911893
Aim1l	0	0	0	0	0	0	0
Apex2	0.508092341	1.097889014	0.10471798	0	0.610988842	0.608062056	1.113102832
Maged2	29.69321466	27.61675167	25.04681346	0.33558411	31.497873	32.01718925	25.74136347
Gnl3l	9.47564301	11.06143752	4.60297491	0.245477474	3.365847254	4.864448921	8.953304796
Fgd1	1.463527316	10.40477033	2.500906411	0	5.423537228	4.468647409	5.085656614
Tsr2	6.027604168	9.638662677	6.959415736	0	4.584895918	5.205393653	11.18332473
Fam120c	2.111432316	1.779196189	0.710334827	0	1.964212293	2.574106778	2.570750729
Huwe1	2.24531265	3.396574937	3.707966808	0.03494552	4.352927928	3.834955464	4.885709233
Hsd17b10	58.00149447	60.64249786	34.90438056	55.64224092	59.07020632	46.26198678	71.26017426
Igkv1-117	0	0	0	0	0	0	0
Gm8247	0	0	0	0	0	0	0
Gm3286	0	0	0	0	0	0	0
Gm13693	0	0	0	0	0	0	0
Hist1h2bl	0.725214791	0	0	0	0	0	0
Iqcf6	0	0	0	0	0	0	0
Atp8b4	0	0	0	0	0.397935683	0	0
Vmn1r54	0	0	0	0	0	0	0
Dusp18	1.943169098	7.746485414	0.786162488	0	3.073797149	1.897812982	3.17722868
Olfr1495	0	0	0	0	0	0	0
Ostf1	82.53591876	72.05619947	47.30428805	31.43334512	60.30682979	61.64252727	67.69086415
Gm4691	0.146581876	0.710278922	0	0	0.80086051	0.510264133	0.200252116
Scgb2b15	0	0	0	0	0	0	0
Pi15	0	0	0.345177037	0	0	0	0
Gm26917	28.27082844	1.681616606	60.5778927	1307.259418	12.64520226	70.44051222	486.1221798
Nnat	23.05260557	47.19357928	12.36674461	0.074085573	15.76792173	20.48093719	13.76049127
Blcap	37.86623743	28.46656927	21.16632836	0.297071056	20.22235914	30.27436852	36.73998152
Gm10605	0.822609641	0.945238697	2.930160222	0	2.995835217	3.541131021	2.296218271
1600017P15Rik	0	2.461683999	0.141287734	0	0	0	0
Ighv1-10	0	0	0	0	0	0	0
Aldh1a1	4.979989967	2.608563336	24.07570706	0	17.7691198	22.01950304	2.849818671
Gm37371	0	0	0	0	0	0	0
RP23-78P7.2	0	0	0	0	0	0	0
Gm17062	0	0	0	0	0	0	0
Rnf222	0	0	0	0	0	0	0
Tlx2	0	0	0	0	0	0	0
Slc4a5	0	1.268506449	0	0	0	1.141661067	0.012287871
Htra2	4.359336824	3.82327239	6.419865742	0	3.034140813	3.866568463	4.340449382
Aup1	9.002321713	12.97055869	12.73906369	0	13.78833504	10.82474651	9.979552457
Rhox7-ps2	0	0	0	0	0	0	0
Gm43188	0.447752192	0	7.744158273	0	3.144867275	1.137962682	5.504629099
Gm42943	0.340909112	0	0.038786577	0	0	0	1.979270932
Gm42991	0.684161421	0.158596647	5.047832855	0	5.311045774	1.197658749	0
Igkv4-73	0	0	0	0	0	0	0
Gm43683	0	0	0	0	0	0	0
Igkv2-95-1	0	0	0	0	0	0	0
Trav4-1	0	0	0	0	0	0	0
E330034L11Rik	0	0	0.144369786	0	0.433227541	2.085860349	2.112653403
Nmral1	9.778098762	9.04063815	12.46989126	0	7.348956542	10.0787148	12.490668
Ube2d2b	0	0	0	0	0	0	0
Lppr1	53.21873599	49.86157147	15.87625623	0	29.49675534	30.57050901	32.56652603
Iglv2	0	0	0	0	0	0	0
Gm29347	0	0	0	0	0	0	0
Gm20912	0	0	0	0	0	0	0
Plekhd1	0.085470323	1.405348217	0.959475033	0	0	1.035641136	0
Gm28824	0	0	0	0	0	0	0
Gm29270	0	0	0	0	0	0	0
Gm29299	0	0	0	0	0	0	0
Gm28553	0	0	0	0	0	0	0
Gm28875	0.215302538	0	1.959039494	0	0.783945674	0.998856265	0.146918529
Gm28459	0	0	0	0	0	0	0
Gm29134	0	0	0	0	0	0	0
Gm20478	0	0	0	0	0	0	0
Vmn1r-ps65	0	0	0	0	0	0	0
Gm18808	0	0	0	0	0	0.231300266	0
Gm20518	0	0	0	0	0	0	0
Cyp21a2-ps	0	0.087984497	0	0	0	1.777295295	0
Gm20473	0	0	0	0	0	0	0
Vmn1r180	0	0	0	0	0	0	0
Kera	0	0	0	0	0	0	0
Mrln	0	0.537661817	0.138869225	0	1.667027507	0.354094822	0.364734706
Slc17a8	0	0	0	0	0	0	0
Epyc	0	0	2.149580761	0	1.311879744	0	1.202792341
Gm29567	0	0	0	0	0	0	0
Adamtsl3	0.410771124	1.110564242	4.177708678	0	2.734068364	4.634615516	2.989427774
Gm36931	0.028790716	0.025345253	0.026191644	0	0.052415447	0.044516027	0.01964626
Arih2	0.469802046	2.348249035	1.004074769	14.47409382	0.650914488	2.38577595	2.748366168
Mgat1	0.967824898	0.986348337	1.882957155	0	2.194313171	0.704590471	0.038885575
Gm9696	0	0	0	0	0	0	0
Gm36997	0	0	0	0	0	0	0
Zfp69	1.31158042	0.709015506	0.596957687	0	1.031338821	0.57642305	1.140121872
Trim38	0	3.524159825	0	0	0	0	0
Pcdha9	0.232812502	2.985294706	2.708007363	0	0.047116001	3.421607518	5.406426692
Cyfip2	13.70739959	19.24462177	10.3545454	0	20.68911461	16.45167973	24.82869211
Trim60	0	0	0	0	0	0	0
Gm5444	0	0	0	0	0	0	0
RP23-111G16.8	0	0	0	0	0	0.801780696	0
Atn1	0	2.094177603	0.519337757	0	0.461724679	0.024514963	0.562857265
RP23-45G16.11	0	0	0	0	0	0	0
Zfp862-ps	0.767982642	1.123945634	0.42847409	0	0.63154945	0.517391604	1.142125787
RP24-571G22.1	0	0	0	0	0	0	0
RP23-333I12.1	0	0	1.89321257	0	0	0	0
Phactr1	4.963110251	0.909922589	11.29089113	0	3.809498161	5.592667401	2.152271428
Vmac	12.92989818	28.44971074	13.31744523	0	10.05906574	6.667636484	8.126332528
Lrrc8c	1.385806163	4.244492138	4.209913141	11.23238052	1.467137903	2.268529868	1.133619965
1700013H16Rik	0	0	0	0	0	0	0
Gm21719	0	0	0	0	0	0	0
A130048G24Rik	0	0	0	0	0	0	0.10293066
Olfr701	0	0	0	0	0	0	0
Ttll7	1.953418224	1.269760155	3.98802215	0.073054605	1.536797564	0.968210846	1.049223182
Gm10715	0	0	0.0927331	0	0	0	0
Psma8	0	0	3.268634233	0	2.526262442	0	0
Otud7a	4.517693115	0.087469058	8.292745619	0	5.243272337	6.892983323	5.103113193
Cuedc2	89.04705556	75.24778729	111.5143061	55.64771167	75.30739741	80.00108932	85.27381985
Pramel5	0	0	0	0	0	0	0
Olfr510	0	0	0	0	0	0	0
AA474408	0.041396894	0.328058733	0.225995137	102.6234493	0.150731693	0.03200381	1.780473024
Gm37934	0	0	0	0	0	0	0
l7Rn6	26.13435451	38.08852027	23.11725425	23.15009554	29.38487938	20.76231009	23.49249949
Zfp599	0.038674938	0	0.175951784	0	0.633549087	0	1.953835819
Olfr1158	0	0	0	0	0	0	0
Gm382	0	0	0	0	0	0	0
Arf2	7.949882983	32.59286385	30.77636979	0	43.34949119	22.06327381	34.87601989
Olfr304	0	0	0	0	0	0	0
Rab3d	0	0.384450967	0	0	0.882966272	1.987877362	0.739643737
Cdcp1	0	0	0	0.126896232	0.030000782	0	0
Gm17084	1.041732804	0.18354653	0.027088773	0.114591645	1.571725362	0.52951301	0.467564736
3830432H09Rik	0	0	0	0	0	0	0
Gm7808	1.427942302	0.943592291	0.324925281	9.624326708	0.650249513	0.828377695	0.487694106
Gm29189	0	0	0	0	0	0	0
4933400C23Rik	0	0	0	0	0	0	0
Gm28849	0	0	0	0	0	0	0
Gm29006	0	0	0	0	0	0	0
Gm5733	0	0	0	0	0	0	0
Vmn2r82	0	0	0	0	0	0	0
Ppp4r1l-ps	1.28467972	1.298928911	0.438547015	0	0.943709406	0.897737516	1.420859419
Oosp2	0	0	0	0	0	0	0
RP24-137B5.2	0	0.286987167	0	6.274077454	0	0.504060013	0
RP23-74G1.5	0	0	2.04349991	0	0	0	0
RP23-114E15.17	0	0	0	0	0	0	0
Cldn34b3	0	0	0	0	0	0	0
RP23-447L9.2	0	0.415298835	0.429167521	0	0	0.729424728	0.32191705
Vmn1r218	0	0	0	0	0	0	0
Rpl10l	0	0	0	0	0	0	0
Gm26510	0	0	0.152222473	0	0	0.646636638	0
Gm26511	0	0.385403922	0	0	0.92929357	0	0
Gm3764	16.22059052	6.58029967	12.44802436	0	6.263552328	15.29881328	13.85419773
Gm26512	0.045438603	0.200044489	0	0	0	0.210803985	2.171444438
Gm26513	0.055534041	0	0.050520725	0	0.606517501	2.6621025	0.037895418
Gm26514	0	0	0	0	0	0	0.089216553
Gm26515	0	0	0	0	0	0	0
Gm26516	0.098943614	0	0	0	0	0	0
Gm26517	0	2.492420351	0.858541969	0	0	0.364712364	0.322077848
Mtmr2	6.767958682	6.660932779	15.72318918	0	4.140156551	4.594362356	2.865024697
Tmed6	0	0	0	0	0	0	0
Cog8	4.902021418	6.992541826	5.406306383	1.379563007	4.428860153	3.835535388	5.678902291
Nip7	20.32995925	27.5471172	15.39443342	6.67069463	16.76691256	15.33766737	26.99261009
Has3	0.085157233	0.050015695	0.374703512	0	0.129235206	0	0.096947616
Vps4a	54.43003576	51.15201579	42.76734134	0.17276207	57.85094266	56.22909251	64.20752721
Gm5105	0	0	0	0	0	0	0
Lrrc56	0.91497711	0.885334342	0.573477971	0	0.65551771	0.591727694	0.276605853
Degs1	185.9672275	70.28050222	87.84295683	91.06729106	128.6202348	82.90408192	79.16978385
Zkscan16	1.137344682	0	0.76522806	0	0	2.371500759	0.810578812
Pzp	0.020044117	0.0705993	0.164146936	0	0.291858741	0.077480222	0.082107433
Fkbp4	112.5496752	95.55299935	74.57477054	0	93.79855917	89.77413873	78.60908827
Tspan11	1.694795222	0	4.337640325	0	5.993362258	9.822534891	2.449294367
Prmt8	2.840314339	5.093746463	1.52362273	0	2.493727355	0.313871941	0.62354785
Tead4	0	0	0	0	0	0	0
Tspan9	3.824837229	0.930035599	10.74468687	0	2.77333007	2.704207807	1.962251911
Gm43661	0	0	0	0	0	0	0
Gm43473	0	0	0	0	0	0	0.015728147
Gm42979	2.17043253	0.163900456	0.169371414	0	2.145536552	1.103231326	10.63091383
Trav5-2	0	0	0	0	0	0	0
Gm43644	0	0	0	0	0	0	0
Pnldc1	0	0	0	0	0	0.126537268	0.111745186
Sft2d1	9.110627984	9.050577724	15.24143657	5.318890413	19.19326708	10.77697106	12.44521433
Ucn2	0	0	0	0	0	0	0
BC048671	0	0	0	0	0	0	0
Nckap5	3.217911205	1.089306203	11.01873309	0	3.106166054	4.53454219	7.651780474
Nkx3-2	0	0	0	0	0	0	0
Tmem239	0	0	0	0	0	0	0
Fbxo33	1.475224137	10.69547979	2.685805274	0	1.451222141	6.085865676	3.85660723
Sec31a	10.10548572	12.18110671	4.150803708	9.254808625	7.20357222	4.489854605	4.949308066
Gm13251	0.242907108	0.10700061	0.027636502	0	0.387035454	0	0
Neb	0	0	0.131609406	0	0.008777654	0	0.042790031
Txnrd2	0.820233469	3.19281625	1.475957098	0.146956454	2.361983882	4.30844518	0.482052272
Dio3	0	0	0	0	0	0	0.027111726
Gpx4	16.45136327	48.38159155	19.01115249	7.397984529	27.3560339	24.84109602	23.17918456
Vimp	133.2449059	95.50813084	142.9639592	124.6570559	137.2830712	137.4540938	133.208215
Ogfod2	1.137937346	1.985991409	2.677601586	0	1.602942649	2.374887546	1.31979956
Uap1l1	4.358410629	13.35754824	6.870035219	0	6.850449675	7.807201297	8.33508681
Selm	40.23999793	40.09012681	44.28729668	0.511483502	41.75633685	51.67152252	43.96250311
Dpp7	6.890420746	6.334693161	10.30924243	0	8.62213147	11.0969833	9.701995109
Grin1	1.699955239	0.619111741	0.501416463	0.146293265	0.466931077	1.212093761	1.21945811
St8sia3	25.34754101	13.25604987	17.94307603	0	13.19637281	10.57541196	14.78036096
Fam89a	41.60609182	26.37897501	10.04240606	0	22.57573357	15.76639175	25.97733068
Gm6812	0	0	0	0	0	0	0
Tmem18	19.56352559	41.84926995	12.95188473	0.180194585	19.68714807	33.34256165	7.608038145
Fscb	0	0	0	0	0	0	0
Spice1	3.828163143	1.307004914	1.667362096	0	1.734393942	1.473489198	2.364443627
Dpy19l1	6.222544399	8.900862668	7.805389598	0	11.35017955	7.309581768	4.214017818
Vmn1r66	0	0	0	0	0	0	0
Laptm4b	172.3925959	183.949395	139.0956213	0	192.1709979	208.2190298	171.1705292
